req_id,output_len,ttft_ms,tpot_ms,decode_time_ms,e2e_latency_ms
543,1011,96.25,26.04,26321.60,26417.85
544,904,99.24,25.19,22773.15,22872.40
545,892,135.78,25.06,22355.63,22491.41
546,955,140.33,25.38,24233.75,24374.08
547,958,99.48,25.43,24357.42,24456.91
548,936,98.62,25.25,23635.42,23734.03
549,998,135.43,25.84,25788.78,25924.21
550,900,155.37,25.07,22560.29,22715.66
551,1002,96.53,25.85,25900.44,25996.97
552,834,95.59,24.62,20530.53,20626.13
553,950,101.60,25.61,24328.52,24430.12
554,925,116.96,25.27,23374.27,23491.23
555,847,100.24,24.86,21055.23,21155.47
556,877,96.56,25.09,22008.26,22104.81
557,897,94.57,25.52,22891.04,22985.62
558,930,96.32,25.79,23988.58,24084.90
559,884,98.20,25.58,22611.43,22709.63
560,895,93.56,25.60,22909.86,23003.43
561,830,96.36,25.06,20801.88,20898.24
562,844,136.18,25.23,21295.55,21431.73
563,922,132.34,25.58,23583.91,23716.24
564,830,95.71,25.68,21315.51,21411.22
565,909,96.34,26.52,24110.21,24206.55
566,981,98.12,25.61,25122.92,25221.04
567,948,100.01,25.50,24171.10,24271.11
568,963,94.16,25.44,24497.99,24592.14
569,820,97.75,25.72,21089.82,21187.57
570,835,96.96,26.45,22082.35,22179.31
571,852,98.71,25.72,21915.02,22013.73
572,852,94.16,25.45,21686.98,21781.14
573,991,93.14,25.28,25047.63,25140.77
574,859,96.42,25.55,21950.59,22047.01
575,891,98.81,25.49,22712.35,22811.17
576,1024,94.12,25.05,25655.61,25749.73
577,925,95.14,25.37,23468.28,23563.42
578,902,102.06,25.40,22907.00,23009.06
579,979,154.75,25.00,24473.68,24628.42
580,970,134.86,25.01,24259.36,24394.23
581,887,95.50,25.27,22413.25,22508.75
582,978,95.81,24.85,24307.93,24403.74
583,969,134.04,24.78,24014.79,24148.84
584,883,147.96,25.09,22158.21,22306.17
585,850,134.01,25.12,21348.79,21482.80
586,898,157.20,24.89,22354.73,22511.94
587,902,135.03,24.77,22341.84,22476.87
588,834,133.88,25.01,20856.18,20990.06
589,870,95.11,24.80,21573.59,21668.70
590,959,95.59,24.39,23387.96,23483.55
591,992,99.52,24.18,23985.29,24084.81
592,829,98.65,24.73,20501.58,20600.23
593,924,97.73,24.29,22442.09,22539.83
594,899,99.41,24.32,21867.96,21967.38
595,889,96.85,24.29,21597.79,21694.63
596,840,96.69,24.40,20493.40,20590.09
597,1014,97.60,23.51,23840.90,23938.50
598,899,98.02,24.01,21589.11,21687.12
599,883,100.09,23.99,21187.25,21287.34
600,948,97.78,23.63,22398.43,22496.21
601,869,135.45,23.85,20722.71,20858.16
602,915,170.38,23.60,21597.60,21767.98
603,926,138.30,23.53,21792.01,21930.32
604,901,97.94,23.55,21215.46,21313.40
605,1004,96.57,22.89,22982.85,23079.43
606,969,100.05,23.00,22282.82,22382.88
607,834,93.04,23.54,19632.85,19725.89
608,962,100.04,22.79,21926.39,22026.43
609,847,99.02,23.33,19757.97,19856.99
610,890,95.93,23.04,20501.69,20597.62
611,846,102.60,23.17,19601.19,19703.79
612,876,147.91,22.93,20085.68,20233.59
613,877,145.65,22.92,20103.52,20249.17
614,1023,99.72,21.94,22442.87,22542.59
615,832,94.87,22.95,19095.21,19190.08
616,965,97.59,22.17,21398.79,21496.38
617,897,100.52,22.45,20136.83,20237.36
618,839,98.73,22.70,19045.68,19144.41
