index,timestamp_us,duration_us,type
18567,1073481615089.4,9.4,small
18568,1073481615140.7,21.8,big
18569,1073481615208.9,9.4,small
18570,1073481615269.3,13.1,small
18571,1073481615329.7,7.3,small
18572,1073481615371.9,32.9,big
18573,1073481615450.5,10.8,small
18574,1073481615506.8,32.3,big
18575,1073481615585.2,8.8,small
18576,1073481615649.4,8.4,small
18577,1073481615705.5,7.3,small
18578,1073481615763.0,17.2,big
18579,1073481615828.9,7.3,small
18580,1073481615877.4,24.8,big
18581,1073481615947.1,10.5,small
18582,1073481616012.8,9.1,small
18583,1073481616069.2,8.4,small
18584,1073481616135.2,8.1,small
18585,1073481616190.6,6.5,small
18586,1073481616248.7,16.3,big
18587,1073481616311.8,8.5,small
18588,1073481616376.5,8.9,small
18589,1073481616432.8,7.2,small
18590,1073481616500.0,7.9,small
18591,1073481616556.4,6.7,small
18592,1073481616620.9,11.0,small
18593,1073481616678.8,7.6,small
18594,1073481616737.5,19.6,big
18595,1073481616804.4,8.8,small
18596,1073481616864.2,11.7,small
18597,1073481616924.4,8.5,small
18598,1073481616998.8,7.4,small
18599,1073481617053.8,7.4,small
18600,1073481617107.5,17.7,big
18601,1073481617173.4,7.8,small
18602,1073481617227.3,17.9,big
18603,1073481617292.3,10.4,small
18604,1073481617358.7,8.9,small
18605,1073481617415.0,7.8,small
18606,1073481617480.3,10.5,small
18607,1073481617537.0,8.8,small
18608,1073481617603.4,9.0,small
18609,1073481617659.3,9.3,small
18610,1073481617725.2,13.7,small
18611,1073481617785.4,7.9,small
18612,1073481617863.2,8.2,small
18613,1073481617918.3,7.4,small
18614,1073481617970.4,36.4,big
18615,1073481618051.8,11.2,small
18616,1073481618106.7,33.4,big
18617,1073481618186.6,8.3,small
18618,1073481618235.6,24.6,big
18619,1073481618307.2,7.7,small
18620,1073481618375.9,9.0,small
18621,1073481618432.8,7.3,small
18622,1073481618491.6,13.1,small
18623,1073481618552.1,7.8,small
18624,1073481618594.9,42.1,big
18625,1073481618680.8,10.7,small
18626,1073481618737.3,18.3,big
18627,1073481618802.8,8.5,small
18628,1073481618868.0,8.6,small
18629,1073481618923.8,8.2,small
18630,1073481618979.4,19.5,big
18631,1073481619045.8,7.3,small
18632,1073481619103.4,14.8,small
18633,1073481619165.7,9.1,small
18634,1073481619486.2,8.9,small
18635,1073481619522.3,9.3,small
18636,1073481619576.6,7.9,small
18637,1073481619610.2,9.1,small
18638,1073481619665.2,8.8,small
18639,1073481619700.0,9.0,small
18640,1073481619756.3,12.2,small
18641,1073481619810.2,35.6,big
18642,1073481619892.0,9.3,small
18643,1073481619947.5,18.4,big
18644,1073481620013.0,8.1,small
18645,1073481620072.1,15.3,big
18646,1073481620135.4,8.5,small
18647,1073481620195.2,25.4,big
18648,1073481620268.5,7.6,small
18649,1073481620327.3,18.2,big
18650,1073481620392.7,8.7,small
18651,1073481620444.9,37.0,big
18652,1073481620529.0,8.0,small
18653,1073481620592.8,11.5,small
18654,1073481620651.4,8.6,small
18655,1073481620694.5,32.5,big
18656,1073481620771.6,10.5,small
18657,1073481620827.7,32.7,big
18658,1073481620906.9,8.5,small
18659,1073481620973.8,9.1,small
18660,1073481621029.5,8.5,small
18661,1073481621085.4,21.5,big
18662,1073481621153.1,8.7,small
18663,1073481621209.2,19.5,big
18664,1073481621277.0,8.9,small
18665,1073481621346.5,9.2,small
18666,1073481621402.9,7.5,small
18667,1073481621458.2,20.4,big
18668,1073481621524.9,8.5,small
18669,1073481621584.9,15.4,big
18670,1073481621647.8,9.1,small
18671,1073481621708.0,22.7,big
18672,1073481621777.0,8.4,small
18673,1073481621836.8,12.6,small
18674,1073481621895.1,9.4,small
18675,1073481621955.5,21.6,big
18676,1073481622024.6,9.2,small
18677,1073481622090.5,15.4,big
18678,1073481622151.7,9.9,small
18679,1073481622218.0,9.1,small
18680,1073481622273.1,8.1,small
18681,1073481622327.3,35.7,big
18682,1073481622410.2,8.9,small
18683,1073481622465.1,20.2,big
18684,1073481622532.0,8.1,small
18685,1073481622587.3,21.3,big
18686,1073481622656.1,7.6,small
18687,1073481622727.1,8.3,small
18688,1073481622783.5,6.7,small
18689,1073481622850.4,14.9,small
18690,1073481622912.7,8.0,small
18691,1073481622979.6,8.0,small
18692,1073481623035.3,7.0,small
18693,1073481623086.0,21.6,big
18694,1073481623155.7,8.9,small
18695,1073481623210.7,21.9,big
18696,1073481623278.4,9.3,small
18697,1073481623334.3,21.4,big
18698,1073481623403.2,8.2,small
18699,1073481623457.2,13.4,small
18700,1073481623518.7,8.8,small
18701,1073481623573.8,22.0,big
18702,1073481623643.3,7.8,small
18703,1073481623703.1,17.8,big
18704,1073481623768.3,8.5,small
18705,1073481623849.7,8.3,small
18706,1073481623905.1,6.5,small
18707,1073481623968.0,11.9,small
18708,1073481624027.3,8.6,small
18709,1073481624080.9,27.5,big
18710,1073481624155.7,8.4,small
18711,1073481624220.4,8.0,small
18712,1073481624276.2,8.6,small
18713,1073481624339.7,10.7,small
18714,1073481624397.6,7.4,small
18715,1073481624460.4,11.9,small
18716,1073481624520.6,7.8,small
18717,1073481624565.1,30.4,big
18718,1073481624640.7,10.4,small
18719,1073481624716.0,7.9,small
18720,1073481624770.7,8.8,small
18721,1073481624817.9,29.9,big
18722,1073481624893.0,11.1,small
18723,1073481624966.1,8.2,small
18724,1073481625021.7,8.3,small
18725,1073481625081.1,14.1,small
18726,1073481625143.2,8.3,small
18727,1073481625206.4,9.0,small
18728,1073481625262.0,8.1,small
18729,1073481625316.8,19.7,big
18730,1073481625383.8,9.3,small
18731,1073481625449.5,9.9,small
18732,1073481625505.9,8.2,small
18733,1073481625580.0,9.2,small
18734,1073481625635.9,6.8,small
18735,1073481625693.3,26.7,big
18736,1073481625767.6,8.8,small
18737,1073481625818.6,30.4,big
18738,1073481625895.7,8.2,small
18739,1073481625962.3,10.0,small
18740,1073481626019.4,8.3,small
18741,1073481626088.2,7.7,small
18742,1073481626143.1,7.9,small
18743,1073481626198.4,25.2,big
18744,1073481626270.9,8.4,small
18745,1073481626337.6,7.2,small
18746,1073481626391.5,8.1,small
18747,1073481626445.6,19.1,big
